Periode;Indice
67;129.72
68;129.38
66;129.03
66;128.45
65;127.77
64;127.22
63;126.82
62;126.46
61;126.19
60;125.9
59;125.5
58;125.33
57;125.25
56;125.26
55;125.28
54;125.26
53;125.25
52;125.19
51;125.29
50;125.24
49;125.15
48;125.0
47;124.83
46;124.66
45;124.44
44;124.25
43;123.97
42;123.55
41;122.96
40;122.37
39;121.68
38;120.95
37;120.31
36;119.69
35;119.17
34;118.7
33;118.26
32;117.81
31;117.47
30;117.41
29;117.59
28;117.7
27;117.54
26;117.03
25;116.07
24;115.12
23;114.3
22;113.68
21;113.37
20;113.07
19;112.77
18;112.43
17;111.98
16;111.47
15;111.01
14;110.57
13;110.08
12;109.64
11;109.2
10;108.72
9;108.28
8;107.8
7;107.49
6;107.06
5;106.61
4;106.17
3;105.61
